Time,Emotion,Confidence
2026-05-09 00:04:56,neutral,62.49
2026-05-09 00:04:56,neutral,54.65
2026-05-09 00:04:57,neutral,73.70
2026-05-09 00:04:57,neutral,46.55
2026-05-09 00:04:57,neutral,61.53
2026-05-09 00:04:57,sad,44.51
2026-05-09 00:04:57,sad,46.72
2026-05-09 00:04:58,fear,49.26
2026-05-09 00:04:58,sad,60.93
2026-05-09 00:04:58,sad,72.17
2026-05-09 00:04:58,sad,63.22
2026-05-09 00:04:58,neutral,72.86
2026-05-09 00:04:59,neutral,81.86
2026-05-09 00:04:59,neutral,98.26
2026-05-09 00:04:59,neutral,97.24
2026-05-09 00:04:59,neutral,99.08
2026-05-09 00:04:59,neutral,95.99
2026-05-09 00:04:59,neutral,97.69
2026-05-09 00:04:59,neutral,96.56
2026-05-09 00:05:00,neutral,99.78
2026-05-09 00:05:00,neutral,99.82
2026-05-09 00:05:00,neutral,98.43
2026-05-09 00:05:00,neutral,93.59
2026-05-09 00:05:00,neutral,99.27
2026-05-09 00:05:00,neutral,89.43
2026-05-09 00:05:00,neutral,93.99
2026-05-09 00:05:01,sad,47.63
2026-05-09 00:05:01,sad,54.86
2026-05-09 00:05:01,sad,39.71
2026-05-09 00:05:01,fear,47.14
2026-05-09 00:05:01,fear,49.46
2026-05-09 00:05:02,fear,62.06
2026-05-09 00:05:02,surprise,53.36
2026-05-09 00:05:02,surprise,53.81
2026-05-09 00:05:02,fear,71.89
2026-05-09 00:05:02,neutral,54.32
2026-05-09 00:05:03,neutral,78.62
2026-05-09 00:05:03,neutral,85.84
2026-05-09 00:05:03,neutral,65.21
2026-05-09 00:05:03,fear,46.16
2026-05-09 00:05:03,sad,72.40
2026-05-09 00:05:03,sad,69.27
2026-05-09 00:05:03,sad,81.74
2026-05-09 00:05:04,sad,95.33
2026-05-09 00:05:04,sad,82.18
2026-05-09 00:05:04,sad,75.47
2026-05-09 00:05:04,sad,86.72
2026-05-09 00:05:04,sad,94.16
2026-05-09 00:05:04,sad,69.14
2026-05-09 00:05:04,sad,97.30
2026-05-09 00:05:04,sad,96.85
2026-05-09 00:05:05,sad,76.45
2026-05-09 00:05:05,sad,97.02
2026-05-09 00:05:05,sad,99.42
2026-05-09 00:05:05,sad,91.72
2026-05-09 00:05:05,sad,95.98
2026-05-09 00:05:05,sad,96.63
2026-05-09 00:05:05,sad,97.06
2026-05-09 00:05:05,sad,86.22
2026-05-09 00:05:05,sad,95.99
2026-05-09 00:05:06,sad,90.65
2026-05-09 00:05:06,sad,91.44
2026-05-09 00:05:06,sad,91.02
2026-05-09 00:05:06,sad,87.68
2026-05-09 00:05:06,sad,78.52
2026-05-09 00:05:06,sad,48.17
2026-05-09 00:05:06,neutral,49.97
2026-05-09 00:05:06,neutral,73.23
2026-05-09 00:05:07,fear,50.91
2026-05-09 00:05:07,neutral,88.52
2026-05-09 00:05:07,neutral,64.77
2026-05-09 00:05:07,neutral,68.64
2026-05-09 00:05:07,neutral,95.15
